N = 10000

n  prob        alpha used  beta used
240  0.993976    0.077617    -0.997760
241  0.990486    0.097541    -0.996207
242  0.986211    0.117426    -0.994257
243  0.981159    0.137264    -0.991908
244  0.975336    0.157047    -0.989163
245  0.968753    0.176768    -0.986022
246  0.961420    0.196417    -0.982487
247  0.953349    0.215989    -0.978558
248  0.944552    0.235473    -0.974238
249  0.935044    0.254864    -0.969529
250  0.924840    0.274153    -0.964432
251  0.913957    0.293332    -0.958949
252  0.902410    0.312393    -0.953082
253  0.890220    0.331330    -0.946834
254  0.877406    0.350134    -0.940207
255  0.863988    0.368798    -0.933205
256  0.849987    0.387315    -0.925829
257  0.835427    0.405676    -0.918083
258  0.820329    0.423876    -0.909969
259  0.804719    0.441906    -0.901492
260  0.788622    0.459759    -0.892653
261  0.772063    0.477428    -0.883458
262  0.755068    0.494906    -0.873910
263  0.737665    0.512186    -0.864012
264  0.719882    0.529262    -0.853768
265  0.701747    0.546125    -0.843183
266  0.683289    0.562770    -0.832260
267  0.664538    0.579191    -0.821005
268  0.645524    0.595379    -0.809421
269  0.626277    0.611329    -0.797513
270  0.606827    0.627035    -0.785287
271  0.587207    0.642490    -0.772746
272  0.567447    0.657688    -0.759896
273  0.547579    0.672623    -0.746742
274  0.527635    0.687288    -0.733290
275  0.507646    0.701679    -0.719544
276  0.487645    0.715790    -0.705511
277  0.467664    0.729613    -0.691195
278  0.447735    0.743146    -0.676603
279  0.427889    0.756380    -0.661740
280  0.408158    0.769313    -0.646612
281  0.388574    0.781937    -0.631226
282  0.369169    0.794249    -0.615587
283  0.349972    0.806243    -0.599702
284  0.331016    0.817914    -0.583577
285  0.312330    0.829259    -0.567219
286  0.293944    0.840271    -0.550634
287  0.275887    0.850948    -0.533828
288  0.258190    0.861284    -0.516809
289  0.240878    0.871276    -0.499584
290  0.223982    0.880919    -0.482158
291  0.207526    0.890210    -0.464540
292  0.191539    0.899145    -0.446736
293  0.176045    0.907720    -0.428753
294  0.161069    0.915932    -0.410598
295  0.146636    0.923777    -0.392280
296  0.132767    0.931253    -0.373804
297  0.119486    0.938357    -0.355179
298  0.106814    0.945085    -0.336412
299  0.094771    0.951435    -0.317510
300  0.083376    0.957405    -0.298482
